OPERATION_NAME,MACHINE_NAME,MACHINE_GROUP,Product_Item,Item_Code,CYCLE_TIME,CYCLE_START_TIME,CYCLE_COMPLETE_TIME,ROBOT_RUNNING_TIME,ROBOT_IDLE_TIME,ROBOT_MANUAL_MODE_TIME,ROBOT_ERROR_TIME,SHIFT_RUNNING_PART_COUNT,CURRENT_SHIFT,OEE,UPDATED_DATE,TOTAL_PRODUCTION_COUNT,TOTAL_RUNNING_TIME,TOTAL_IDLE_TIME,ROBOT_DOWNTIME,Downtime_Reason,Maintenance_Flag,Shift_Target,Shift_Achieved,Shift_Efficiency (%),Utilization_Rate (%),Error_Code,Downtime_Percentage,Maintenance_Needed,Status
FLUXEN_SCREWING_5,MAC_LINE_4_HELION,MACLINE-1,Zerion (V5.7),ZX-3427-A6,290,09-10-2025 05:49,09-10-2025 05:54,16637,11832,40,55,50,SHIFT-C,100,25-07-2025,122,45897,37079,4,Manual Stop,1,817,686,83.97,64.47,E968,0.01,0,Healthy
CEREVEX_SEALING_4,MAC_LINE_2_VORTAN,MACLINE-1,Vortan (V9.8),VX-2999-C9,317,09-10-2025 13:52,09-10-2025 13:58,15838,11741,107,0,47,SHIFT-A,71.89,03-08-2025,47,15838,11736,2,Maintenance,1,1289,1031,79.98,77.04,E732,0.01,1,Needs Attention
CRYON_TEST_1,MAC_LINE_5_SYNTRA,MACLINE-4,Fluxen (V2.8),ZX-7987-A3,138,09-10-2025 05:47,09-10-2025 05:49,9723,12604,0,64000,68,SHIFT-C,100,16-05-2025,243,34576,70608,367,Manual Stop,0,858,758,88.34,97.43,E448,1.64,0,Healthy
NEURAX_MOUNTING_3,MAC_LINE_2_AURALON,MACLINE-4,Quantor (V8.3),TX-7444-C2,143,09-10-2025 13:55,09-10-2025 13:57,12426,14994,0,2,89,SHIFT-A,56.8,16-05-2025,89,12514,21017,4,Network Issue,0,804,842,104.73,63.56,E639,0.01,0,Healthy
NEURAX_PACKAGING_1,MAC_LINE_3_MACHINA,MACLINE-1,Eonix (V9.2),NX-7264-B3,299,09-10-2025 14:53,09-10-2025 14:58,0,0,98.97,222.22,0,SHIFT-A,0,16-05-2025,0,0,0,475,Power Failure,0,1207,1199,99.34,65.33,E890,47500,0,Healthy
ASTRA_COATING_1,MAC_LINE_3_QUANTOR,MACLINE-2,Machina (V1.2),TX-8018-C5,0,09-10-2025 08:39,09-10-2025 08:39,0,28283,0,0,1,SHIFT-A,0,16-05-2025,1,0,28270,44919,Manual Stop,0,1111,1142,102.79,64.78,E773,158.81,0,Healthy
SYNTRA_MOUNTING_5,MAC_LINE_1_NEXORA,MACLINE-1,Machina (V4.5),HX-3164-B9,34631,09-10-2025 01:47,09-10-2025 11:24,0,0,28477,0,0,SHIFT-A,0,16-05-2025,0,0,0,475,Network Issue,0,1122,833,74.24,62.36,E502,47500,1,Needs Attention
GALVION_SCREWING_5,MAC_LINE_4_VOLTRIS,MACLINE-2,Vortan (V4.9),ZX-4429-C2,122,09-10-2025 04:10,09-10-2025 04:12,0,1743,0,0,0,SHIFT-A,0,16-05-2025,0,0,28468,0,Manual Stop,0,1246,1055,84.67,69.12,E285,0,0,Healthy
CRYON_CALIBRATION_5,MAC_LINE_2_AXION,MACLINE-4,Zerion (V7.2),VX-5180-B4,162,09-10-2025 05:48,09-10-2025 05:51,11578,15591,0,11,83,SHIFT-C,100,16-05-2025,267,37968,61214,11,Network Issue,0,1365,1414,103.59,92.99,E111,0.04,0,Healthy
AXION_PACKAGING_1,MAC_LINE_1_CRYON,MACLINE-1,Eonix (V7.3),HX-2682-B5,34631,09-10-2025 01:47,09-10-2025 11:24,0,0,28477,0,0,SHIFT-C,0,16-05-2025,0,0,0,475,Power Failure,0,957,1031,107.73,94.2,E948,47500,0,Healthy
ORVION_COATING_2,MAC_LINE_2_MACHINA,MACLINE-1,Orvion (V3.0),TX-5723-C9,237,09-10-2025 05:26,09-10-2025 05:30,11335,17369,0,78,49,SHIFT-C,100,16-05-2025,132,31269,53348,3,Maintenance,1,1342,1264,94.19,72.3,E176,0.01,1,Healthy
VORTAN_ASSEMBLY_4,MAC_LINE_2_NEURAX,MACLINE-4,Galvion (V8.0),VX-9961-B2,136,09-10-2025 13:59,09-10-2025 14:01,10718,18025,0,64000,76,SHIFT-A,47.38,17-05-2025,76,10439,26641,132,Manual Stop,0,1102,931,84.48,80.63,E610,0.46,0,Healthy
EONIX_TEST_5,MAC_LINE_1_GALVION,MACLINE-1,Voltris (V5.8),HX-8881-B4,299,09-10-2025 14:53,09-10-2025 14:58,0,0,98.97,222.22,0,SHIFT-A,0,17-05-2025,0,0,0,475,Maintenance,1,1039,929,89.41,78.73,E497,47500,1,Healthy
NEURAX_CALIBRATION_5,MAC_LINE_5_AXION,MACLINE-2,Auralon (V9.5),TX-4603-A6,0,09-10-2025 18:34,09-10-2025 03:37,0,28695,0,0,0,SHIFT-A,0,17-05-2025,0,0,26300,0,Sensor Fault,1,1459,1031,70.66,88.79,E506,0,1,Needs Attention
CRYON_SEALING_3,MAC_LINE_1_ORVION,MACLINE-2,Quantor (V5.5),TX-6271-B9,132,09-10-2025 13:43,09-10-2025 13:45,6633,85,0,58,16,SHIFT-A,7.81,18-08-2025,16,1721,24993,64000,Power Failure,0,1008,1065,105.65,60.27,E790,952.52,0,Healthy
QUANTOR_SEALING_1,MAC_LINE_2_AXION,MACLINE-1,Syntra (V5.8),VX-6939-C9,249,09-10-2025 05:48,09-10-2025 05:52,10589,17267,226,0,39,SHIFT-C,100,09-06-2025,120,30653,54683,7,Maintenance,1,932,693,74.36,89.13,E617,0.03,1,Needs Attention
EONIX_ALIGNMENT_1,MAC_LINE_2_LUMINA,MACLINE-1,Galvion (V6.4),HX-9914-B7,0,09-10-2025 23:43,09-10-2025 18:42,0,0,28461,0,0,SHIFT-A,0,12-06-2025,0,0,0,474,Maintenance,0,1280,1264,98.75,93.37,E518,47400,1,Healthy
CRYON_CALIBRATION_2,MAC_LINE_5_CRYON,MACLINE-2,Syntra (V1.5),VX-2785-C9,129,09-10-2025 13:52,09-10-2025 13:54,10031,17694,0,118,80,SHIFT-A,45.56,12-06-2025,80,10036,16135,118,Sensor Fault,1,1457,1070,73.44,68.87,E395,0.43,1,Needs Attention
AXION_TEST_1,MAC_LINE_5_CEREVEX,MACLINE-1,Quantor (V5.3),ZX-7710-B5,2,09-10-2025 22:33,09-10-2025 22:33,77.04,0,0,222.22,0,SHIFT-C,100,12-06-2025,0,86083,0,0,Network Issue,0,941,727,77.26,81.1,E638,0,1,Needs Attention
ZERION_ALIGNMENT_2,MAC_LINE_2_VORTAN,MACLINE-2,Voltris (V9.5),HX-5888-B2,130,09-10-2025 05:44,09-10-2025 05:47,7435,20279,0,189,60,SHIFT-C,100,12-06-2025,214,26861,45473,118,Sensor Fault,1,1475,1601,108.54,65.45,E143,0.43,1,Healthy
AURALON_CALIBRATION_3,MAC_LINE_4_DRAVON,MACLINE-1,Helion (V4.2),ZX-5426-C5,2,09-10-2025 22:33,09-10-2025 22:33,98.91,0,0,222.22,0,SHIFT-B,100,12-06-2025,0,57281,0,0,Manual Stop,1,1164,1052,90.38,75.01,E752,0,0,Healthy
DRAVON_PACKAGING_1,MAC_LINE_2_VORTAN,MACLINE-1,Nexora (V6.2),TX-1575-B3,213,09-10-2025 21:46,09-10-2025 21:49,10092,18627,0,16,46,SHIFT-B,50.37,12-06-2025,100,22196,35260,2,Network Issue,1,1223,1004,82.09,97.42,E852,0.01,0,Healthy
DRAVON_MOUNTING_5,MAC_LINE_4_MACHINA,MACLINE-1,Vortan (V4.8),VX-1870-B9,0,09-10-2025 23:43,09-10-2025 18:42,0,0,28461,0,0,SHIFT-B,0,12-06-2025,0,0,0,474,Maintenance,0,1183,1176,99.41,68.39,E982,47400,1,Healthy
FLUXEN_CALIBRATION_2,MAC_LINE_5_AXION,MACLINE-2,Astra (V4.5),TX-5185-B5,129,09-10-2025 21:57,09-10-2025 21:59,9163,18668,0,57,74,SHIFT-B,43.87,12-06-2025,154,19330,34309,118,Network Issue,0,1350,1208,89.48,89.43,E759,0.42,0,Healthy
VORTAN_INSPECTION_5,MAC_LINE_4_ZERION,MACLINE-1,Eonix (V1.0),TX-1752-A7,0,09-10-2025 23:43,09-10-2025 18:42,0,0,28461,0,0,SHIFT-C,0,12-06-2025,0,0,0,474,Power Failure,1,1132,1007,88.96,62.76,E649,47400,0,Healthy
ZERION_ALIGNMENT_4,MAC_LINE_1_ORVION,MACLINE-4,Nexora (V2.0),VX-4567-C9,94,09-10-2025 05:57,09-10-2025 05:59,7741,18364,0,421,77,SHIFT-C,100,12-06-2025,247,23650,60855,436,Power Failure,0,1275,1081,84.78,82.04,E605,1.67,0,Healthy
GALVION_INSPECTION_3,MAC_LINE_4_ASTRA,MACLINE-2,NeuraX (V8.3),HX-5954-A2,313,09-10-2025 05:37,09-10-2025 05:42,13182,14820,0,311,60,SHIFT-C,100,12-06-2025,214,46275,24784,21,Power Failure,1,1431,1035,72.33,76.78,E666,0.07,1,Needs Attention
CRYON_SCREWING_4,MAC_LINE_5_ORVION,MACLINE-4,Eonix (V2.3),HX-1941-A7,130,09-10-2025 05:57,09-10-2025 05:59,9030,13354,0,64000,70,SHIFT-C,100,12-06-2025,229,30701,73797,145,Power Failure,0,1028,873,84.92,92.93,E636,0.65,0,Healthy
LUMINA_COATING_2,MAC_LINE_3_GALVION,MACLINE-2,Orvion (V2.9),VX-7150-C4,540,09-10-2025 13:29,09-10-2025 13:38,6847,20255,162,255,29,SHIFT-A,28.73,30-08-2025,29,6330,11260,510,Power Failure,1,1370,1415,103.28,96.46,E330,1.88,0,Healthy
NEXORA_INSPECTION_1,MAC_LINE_5_DRAVON,MACLINE-1,Syntra (V7.5),TX-9384-C2,0,09-10-2025 05:55,09-10-2025 05:36,839,26769,0,0,12,SHIFT-C,100,12-09-2025,49,1983,75409,0,Power Failure,0,1304,1362,104.45,76.62,E596,0,0,Healthy
AURALON_MOUNTING_1,MAC_LINE_5_FLUXEN,MACLINE-2,Auralon (V3.5),TX-6298-B8,170,09-10-2025 04:49,09-10-2025 04:52,10458,16546,435,788,57,SHIFT-C,0,10-06-2025,183,33598,11934,1065,Manual Stop,1,1425,1120,78.6,68.86,E883,3.94,1,Needs Attention
MACHINA_SCREWING_5,MAC_LINE_4_NEURAX,MACLINE-4,Axion (V6.5),HX-9162-A3,92,09-10-2025 13:45,09-10-2025 13:46,8015,17555,0,372,74,SHIFT-A,36.65,11-06-2025,74,8075,20586,658,Maintenance,0,1058,1029,97.26,74,E546,2.57,1,Healthy
HELION_SEALING_3,MAC_LINE_5_NEXORA,MACLINE-2,Axion (V3.9),NX-9242-B7,130,09-10-2025 05:37,09-10-2025 05:40,8663,19146,0,123,70,SHIFT-C,100,11-06-2025,215,26977,44636,66,Maintenance,1,1480,1366,92.3,63.84,E496,0.24,1,Healthy
VOLTRIS_ALIGNMENT_2,MAC_LINE_1_NEURAX,MACLINE-1,Eonix (V6.1),HX-9432-A4,2,09-10-2025 22:33,09-10-2025 22:33,77.03,0,0,222.22,0,SHIFT-C,100,13-06-2025,0,86082,0,0,Network Issue,1,1245,1209,97.11,91.56,E890,0,0,Healthy
VOLTRIS_CALIBRATION_1,MAC_LINE_4_SYNTRA,MACLINE-2,Vortan (V8.6),ZX-8609-B2,0,09-10-2025 22:34,09-10-2025 14:56,0,28463,0,0,0,SHIFT-C,0,13-06-2025,66,8238,68968,0,Maintenance,1,905,687,75.91,89.58,E252,0,1,Needs Attention
GALVION_CALIBRATION_3,MAC_LINE_3_AXION,MACLINE-2,Lumina (V3.7),HX-3363-B3,129,09-10-2025 14:54,09-10-2025 14:56,245,28205,0,0,2,SHIFT-B,18.7,13-06-2025,66,8238,40201,0,Sensor Fault,1,948,998,105.27,67.79,E817,0,1,Healthy
GALVION_SCREWING_2,MAC_LINE_5_EONIX,MACLINE-2,Fluxen (V8.9),ZX-9718-A9,166,09-10-2025 05:38,09-10-2025 05:41,10245,17970,0,116,62,SHIFT-C,0,15-06-2025,172,36391,31732,116,Network Issue,0,1184,953,80.49,79.05,E254,0.41,0,Healthy
NEURAX_TEST_2,MAC_LINE_3_AXION,MACLINE-2,Axion (V5.1),ZX-7535-B4,199,09-10-2025 12:53,09-10-2025 12:56,12705,15964,0,0,65,SHIFT-A,57.2,16-06-2025,65,12602,11723,0,Network Issue,1,856,623,72.78,72.25,E414,0,1,Needs Attention
ASTRA_COATING_4,MAC_LINE_5_AXION,MACLINE-2,Vortan (V1.9),HX-7723-B3,168,09-10-2025 12:45,09-10-2025 12:47,10472,17563,0,1,62,SHIFT-A,50.09,16-06-2025,62,11035,12061,179,Power Failure,1,951,985,103.58,81.8,E856,0.64,0,Healthy
MACHINA_TEST_5,MAC_LINE_5_DRAVON,MACLINE-1,Auralon (V1.2),TX-2413-A2,0,09-10-2025 23:43,09-10-2025 18:42,0,0,28458,0,0,SHIFT-C,0,16-06-2025,0,0,0,474,Network Issue,1,1161,1152,99.22,92.4,E989,47400,0,Healthy
EONIX_TEST_3,MAC_LINE_2_MACHINA,MACLINE-4,Fluxen (V3.3),VX-5806-C8,0,09-10-2025 21:53,09-10-2025 21:52,11988,12806,0,0,95,SHIFT-B,43.68,16-06-2025,149,19249,41590,0,Power Failure,0,880,706,80.23,93.2,E507,0,0,Healthy
ZERION_PACKAGING_1,MAC_LINE_2_ORVION,MACLINE-1,Helion (V6.9),TX-8558-B2,0,09-10-2025 23:43,09-10-2025 18:42,0,0,28458,0,0,SHIFT-B,0,16-06-2025,0,0,0,474,Power Failure,0,835,641,76.77,61.04,E975,47400,1,Needs Attention
HELION_TEST_2,MAC_LINE_4_AURALON,MACLINE-4,Lumina (V4.7),HX-6449-B5,473,09-10-2025 13:51,09-10-2025 13:59,13186,15244,16,64000,80,SHIFT-A,57.8,27-07-2025,80,12733,23093,442,Network Issue,1,863,898,104.06,82.38,E184,1.55,0,Healthy
DRAVON_ALIGNMENT_5,MAC_LINE_2_GALVION,MACLINE-4,Auralon (V7.6),TX-9433-C2,158,09-10-2025 21:55,09-10-2025 21:57,12369,15356,0,64,80,SHIFT-B,60.25,10-06-2025,167,26546,37662,70,Network Issue,0,1376,983,71.44,61.15,E202,0.25,1,Needs Attention
GALVION_COATING_3,MAC_LINE_2_QUANTOR,MACLINE-2,Quantor (V7.9),ZX-8957-C7,0,09-10-2025 21:36,09-10-2025 21:36,0,28277,0,2,77,SHIFT-B,0,10-06-2025,129,0,19318,0,Network Issue,1,882,696,78.91,87.59,E879,0,1,Needs Attention
LUMINA_ALIGNMENT_3,MAC_LINE_5_VOLTRIS,MACLINE-2,Cerevex (V6.8),VX-8254-C2,208,09-10-2025 04:44,09-10-2025 04:48,11633,14895,0,1786,60,SHIFT-C,100,10-06-2025,185,36565,31890,111,Sensor Fault,0,1285,1369,106.54,64.11,E313,0.42,1,Healthy
GALVION_SEALING_5,MAC_LINE_3_CRYON,MACLINE-4,Nexora (V5.8),VX-6480-C8,159,09-10-2025 05:46,09-10-2025 05:49,14528,12530,0,51,95,SHIFT-C,100,10-06-2025,262,41167,54250,56,Manual Stop,1,979,833,85.09,81.33,E863,0.21,0,Healthy
DRAVON_PACKAGING_5,MAC_LINE_5_VORTAN,MACLINE-1,Zerion (V2.5),ZX-2313-C6,2,09-10-2025 08:51,09-10-2025 08:51,0,0,77.04,222.22,0,SHIFT-C,100,10-06-2025,0,86084,0,370,Power Failure,0,995,1074,107.94,97.39,E491,37000,0,Healthy
HELION_SCREWING_4,MAC_LINE_2_AURALON,MACLINE-4,Auralon (V3.1),HX-5803-C1,132,09-10-2025 05:43,09-10-2025 05:45,9077,13430,0,64000,71,SHIFT-C,100,10-06-2025,216,29056,73312,35,Power Failure,0,1367,1281,93.71,73.62,E268,0.16,0,Healthy
EONIX_PACKAGING_3,MAC_LINE_4_AXION,MACLINE-1,Lumina (V5.4),ZX-7045-A2,48578,09-10-2025 05:12,09-10-2025 18:42,36,28441,0,0,0,SHIFT-C,100,10-06-2025,0,174,85825,1,Maintenance,1,1469,1217,82.85,82.46,E722,0,1,Healthy
MACHINA_ALIGNMENT_4,MAC_LINE_1_VOLTRIS,MACLINE-2,Vortan (V3.0),VX-3184-B2,111,09-10-2025 04:41,09-10-2025 04:43,5920,22063,0,0,57,SHIFT-C,0,10-06-2025,182,19535,44882,0,Power Failure,0,1169,1226,104.88,96.34,E847,0,0,Healthy
AURALON_MOUNTING_2,MAC_LINE_1_ORVION,MACLINE-1,Machina (V2.8),NX-3144-C7,211,09-10-2025 13:43,09-10-2025 13:47,12104,16547,0,106,54,SHIFT-A,54.94,12-06-2025,54,12104,16543,2,Sensor Fault,1,848,762,89.86,81.08,E296,0.01,1,Healthy
FLUXEN_SEALING_5,MAC_LINE_2_LUMINA,MACLINE-2,Dravon (V6.7),ZX-7073-A8,111,09-10-2025 13:54,09-10-2025 13:56,8311,19489,0,0,80,SHIFT-A,38.83,12-06-2025,80,8554,14903,0,Power Failure,1,809,598,73.92,73.16,E961,0,1,Needs Attention
GALVION_SEALING_1,MAC_LINE_1_CEREVEX,MACLINE-1,Helion (V8.2),TX-6004-A2,224,09-10-2025 13:34,09-10-2025 13:38,13121,15223,0,29,54,SHIFT-A,59.56,12-06-2025,54,13121,15218,1,Network Issue,0,913,760,83.24,67.78,E410,0,0,Healthy
DRAVON_ALIGNMENT_3,MAC_LINE_1_FLUXEN,MACLINE-4,Voltris (V4.1),ZX-3315-C3,0,09-10-2025 14:05,09-10-2025 14:01,9519,19277,0,64000,74,SHIFT-A,43.21,12-06-2025,74,9519,27465,102,Manual Stop,0,1158,859,74.18,77.78,E426,0.35,1,Needs Attention
NEURAX_MOUNTING_3,MAC_LINE_1_EONIX,MACLINE-2,Cerevex (V7.0),ZX-7186-A5,169,09-10-2025 13:41,09-10-2025 13:44,12943,14869,0,1,79,SHIFT-A,62.6,12-06-2025,79,13790,4096,259,Power Failure,0,1081,1117,103.33,63.88,E398,0.93,0,Healthy
NEURAX_MOUNTING_4,MAC_LINE_5_ASTRA,MACLINE-2,Voltris (V1.4),ZX-1798-A9,0,09-10-2025 13:30,09-10-2025 13:30,0,28277,0,0,81,SHIFT-A,0,12-06-2025,81,0,9949,48661,Power Failure,0,1030,942,91.46,63.39,E143,172.08,0,Healthy
VORTAN_MOUNTING_5,MAC_LINE_4_AURALON,MACLINE-2,Lumina (V7.9),VX-4535-A3,17617,09-10-2025 11:16,09-10-2025 16:10,0,0,0,0,0,SHIFT-A,0,03-08-2025,0,0,0,0,Power Failure,1,1472,1618,109.92,93.13,E447,0,0,Healthy
SYNTRA_SCREWING_4,MAC_LINE_3_ORVION,MACLINE-2,Galvion (V6.2),HX-6390-A9,0,09-10-2025 06:25,09-10-2025 06:25,3,0,0,0,1,SHIFT-A,0,03-08-2025,1,0,28178,64000,Sensor Fault,0,1289,1024,79.44,87.22,E163,1600000,1,Needs Attention
ORVION_ASSEMBLY_2,MAC_LINE_1_HELION,MACLINE-2,Axion (V3.5),TX-6047-A3,260,09-10-2025 21:45,09-10-2025 21:50,3478,24761,0,0,13,SHIFT-B,11.48,18-08-2025,19,5057,30623,358,Maintenance,0,1302,1337,102.69,84.7,E366,1.27,1,Healthy
LUMINA_CALIBRATION_4,MAC_LINE_1_ORVION,MACLINE-1,Dravon (V2.0),TX-9902-B1,48543,09-10-2025 05:13,09-10-2025 18:42,29,28451,0,0,0,SHIFT-C,100,09-06-2025,0,111,85605,6,Power Failure,0,998,982,98.4,79.37,E172,0.02,0,Healthy
VORTAN_MOUNTING_1,MAC_LINE_1_ASTRA,MACLINE-4,Voltris (V8.2),ZX-2142-B8,158,09-10-2025 05:49,09-10-2025 05:52,12501,15099,0,30,82,SHIFT-C,100,09-06-2025,237,36924,57509,31,Power Failure,0,1122,1054,93.94,69.02,E178,0.11,0,Healthy
HELION_PACKAGING_5,MAC_LINE_4_VOLTRIS,MACLINE-2,Fluxen (V8.0),VX-1121-A9,180,09-10-2025 05:41,09-10-2025 05:44,15441,12753,0,178,77,SHIFT-C,100,09-06-2025,197,38826,30116,0,Manual Stop,1,1389,1272,91.58,72.84,E479,0,0,Healthy
VORTAN_INSPECTION_5,MAC_LINE_1_ZERION,MACLINE-2,NeuraX (V1.2),ZX-6142-C2,130,09-10-2025 21:47,09-10-2025 21:49,9509,18335,0,22,77,SHIFT-B,34.71,09-06-2025,122,15296,36685,0,Maintenance,0,1022,746,72.99,90.65,E926,0,1,Needs Attention
NEURAX_CALIBRATION_1,MAC_LINE_3_NEXORA,MACLINE-1,Auralon (V2.0),VX-4811-A4,208,09-10-2025 21:46,09-10-2025 21:49,9165,19589,0,0,43,SHIFT-B,38.92,09-06-2025,80,17150,40110,0,Power Failure,0,1326,1138,85.82,70.09,E772,0,0,Healthy
FLUXEN_MOUNTING_1,MAC_LINE_3_HELION,MACLINE-2,Axion (V8.7),ZX-2000-A5,195,09-10-2025 21:42,09-10-2025 21:45,15166,13084,0,10,77,SHIFT-B,53.38,09-06-2025,120,23520,23154,0,Power Failure,0,888,671,75.56,93.02,E317,0,1,Needs Attention
ORVION_CALIBRATION_2,MAC_LINE_3_AXION,MACLINE-2,Fluxen (V1.4),NX-1320-A5,222,09-10-2025 05:31,09-10-2025 05:35,14222,13909,0,168,68,SHIFT-C,100,11-06-2025,213,43003,25484,107,Sensor Fault,1,949,1039,109.48,87.53,E924,0.38,1,Healthy
NEXORA_ASSEMBLY_3,MAC_LINE_5_VORTAN,MACLINE-4,Vortan (V7.3),HX-4685-C6,132,09-10-2025 05:56,09-10-2025 05:58,9318,13148,0,64000,70,SHIFT-C,100,11-06-2025,208,28348,78740,71,Maintenance,0,983,690,70.19,79.93,E876,0.32,1,Needs Attention
QUANTOR_MOUNTING_3,MAC_LINE_3_SYNTRA,MACLINE-2,Dravon (V5.3),HX-4819-A2,195,09-10-2025 05:28,09-10-2025 05:31,13374,15341,0,0,68,SHIFT-C,100,11-06-2025,212,41811,30480,145,Maintenance,0,997,935,93.78,92.03,E681,0.5,1,Healthy
MACHINA_ALIGNMENT_4,MAC_LINE_5_VORTAN,MACLINE-4,Voltris (V5.3),VX-4580-B6,257,09-10-2025 13:49,09-10-2025 13:54,12001,16695,0,64000,74,SHIFT-A,53.17,14-06-2025,74,11714,23071,198,Sensor Fault,1,1217,1242,102.05,75.58,E309,0.69,1,Healthy
NEURAX_TEST_5,MAC_LINE_2_ORVION,MACLINE-1,Dravon (V2.1),HX-3405-C9,221,09-10-2025 13:56,09-10-2025 13:59,11923,15806,0,0,55,SHIFT-A,54.12,14-06-2025,55,11923,15801,0,Sensor Fault,0,1172,994,84.81,83.48,E466,0,1,Healthy
FLUXEN_PACKAGING_1,MAC_LINE_5_AURALON,MACLINE-2,Dravon (V8.8),NX-8085-B5,193,09-10-2025 10:55,09-10-2025 10:58,6775,21801,0,0,35,SHIFT-A,30.48,14-06-2025,35,6715,18324,0,Network Issue,0,1339,1327,99.1,97,E609,0,0,Healthy
